country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,2.01M,,,,,2.48M,,,,,3.06M,,,,,3.68M,,,,,4.69M,,,,,5.5M,,,,,6.09M
Palau,2960,,,,,2840,,,,,4000,,,,,3780,,,,,2620,,,,,2560,,,,,2660
Papua New Guinea,3110,,,,,4060,,,,,4550,,,,,4490,,,,,4230,,,,,4980,,,,,4810
Poland,1.67M,,,,,1.78M,,,,,2.05M,,,,,2.88M,,,,,3.72M,,,,,4.08M,,,,,4.83M
North Korea,39.4k,,,,,53.8k,,,,,72.3k,,,,,86.8k,,,,,96.5k,,,,,104k,,,,,110k
Portugal,1.87M,,,,,1.92M,,,,,1.99M,,,,,1.74M,,,,,1.93M,,,,,1.97M,,,,,2.08M
Paraguay,298k,,,,,336k,,,,,375k,,,,,546k,,,,,766k,,,,,846k,,,,,896k
Palestine,1.81M,,,,,2.27M,,,,,2.77M,,,,,3.26M,,,,,3.54M,,,,,3.77M,,,,,4.02M
Qatar,12.2k,,,,,13.3k,,,,,14.7k,,,,,17.1k,,,,,20.7k,,,,,23.6k,,,,,25.7k
Romania,812k,,,,,977k,,,,,1.14M,,,,,2.11M,,,,,3.36M,,,,,3.42M,,,,,3.99M
Russia,12.7M,,,,,11.6M,,,,,10.7M,,,,,10.3M,,,,,10.1M,,,,,10.2M,,,,,10.8M
Rwanda,548k,,,,,2.06M,,,,,318k,,,,,289k,,,,,334k,,,,,504k,,,,,492k
Saudi Arabia,107k,,,,,131k,,,,,154k,,,,,179k,,,,,215k,,,,,283k,,,,,299k
Sudan,585k,,,,,775k,,,,,886k,,,,,1.28M,,,,,1.24M,,,,,1.84M,,,,,2.1M
Senegal,370k,,,,,359k,,,,,395k,,,,,471k,,,,,547k,,,,,595k,,,,,694k
Singapore,156k,,,,,168k,,,,,193k,,,,,236k,,,,,282k,,,,,325k,,,,,348k
Solomon Islands,2210,,,,,2540,,,,,2730,,,,,3000,,,,,3370,,,,,3890,,,,,4270
Sierra Leone,61.9k,,,,,458k,,,,,509k,,,,,152k,,,,,127k,,,,,139k,,,,,152k
El Salvador,1.24M,,,,,933k,,,,,949k,,,,,1.12M,,,,,1.34M,,,,,1.51M,,,,,1.6M
San Marino,1410,,,,,2460,,,,,3490,,,,,2910,,,,,2270,,,,,3690,,,,,2410
